,MY-상하위 5% 제거,,MY-상하위 1% 제거,,FF-Official,,,,
date,SMB-1Q,HML-1Q,SMB-100Q,HML-100Q,SMB-FF,HML-FF,,"상관계수 btw 1Q, FF",
2007-05-31,-0.207370246,0.246973008,-0.194946379,0.257255829,0.23,-0.62,,,
2007-06-30,0.0517506,0.947295467,0.076815559,0.799092824,0.76,-1.07,,,
2007-07-31,0.512487185,0.673983932,0.480865294,0.564992587,-2.61,-3.73,,,
2007-08-31,-0.00627337,-0.346740846,0.00833501,-0.232184833,-0.14,-1.89,,,
2007-09-30,-0.234510158,1.410257018,-0.207330943,1.300562105,-2.22,-2.23,,,
2007-10-31,-0.168674956,1.115597763,-0.154109839,0.994406867,0.12,-3.11,,,
2007-11-30,0.602780645,-0.892583646,0.642692907,-0.870798554,-2.93,-0.94,,,
2007-12-31,-0.010517697,0.942580083,0.075007676,0.78230033,0.16,-0.52,,,
2008-01-31,0.488650109,-2.06425699,0.48715403,-1.848795508,-0.98,4.01,,,
2008-02-29,0.254652705,0.533138105,0.247196325,0.41746414,-0.41,-0.84,,,
2008-03-31,0.143241147,-0.39080142,0.160060756,-0.259683135,0.77,0.35,,,
2008-04-30,-0.229431042,0.553853119,-0.20587821,0.498635336,-1.72,-1.09,,,
2008-05-31,-0.309828207,1.046175694,-0.298615003,0.932478018,2.95,-1.53,,,
2008-06-30,0.686795496,2.085733813,0.674445523,1.599127666,1.24,-2.7,,,
2008-07-31,-0.059234324,-0.357948532,-0.052475294,-0.278436045,2.56,5.27,,,
2008-08-31,-0.195778319,-0.524835659,-0.198420732,-0.450416771,3.5,1.48,,,
2008-09-30,0.724549311,-0.703182444,0.794748538,-0.561519815,-1.24,5.9,,,
2008-10-31,1.49982887,-1.006986656,1.43074552,-0.932471096,-2.52,-2.22,,,
2008-11-30,0.848069383,0.2249624,0.93499465,0.115390091,-2.87,-6.3,,,
2008-12-31,-0.518493178,1.480628785,-0.384351747,0.986044534,3.49,0.07,,,
2009-01-31,0.556739546,0.92057911,0.5644395,0.897689511,0.18,-11.11,,,
2009-02-28,0.997544805,0.735765131,1.013944759,0.654907578,0.13,-6.91,,,
2009-03-31,-0.846866149,0.591121584,-0.808867292,0.637059093,0,3.34,,,
2009-04-30,-1.353844981,-0.151741168,-1.257509262,0.153728873,5.28,5.26,,,
2009-05-31,-0.606670358,0.121207993,-0.541116109,0.270001961,-2.52,0.37,,,
2009-06-30,-0.20054719,1.396967578,-0.205426403,1.273381306,2.66,-2.72,,,
2009-07-31,-0.680723498,0.126586808,-0.634307879,0.102044641,1.87,4.84,,,
2009-08-31,-0.133835219,-0.988566082,-0.183999519,-0.680719496,-1.08,7.63,,,
2009-09-30,-0.528289542,0.571817591,-0.514045955,0.686817245,2.43,1.04,,,
